id,dut,categories,test,description,inputs,result,messages
1,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW1 (IP: 172.16.30.0),PASS,
2,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW2 (IP: 172.16.30.6),PASS,
3,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW3 (IP: 172.16.30.12),PASS,
4,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW1 (IP: 172.16.30.18),PASS,
5,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW2 (IP: 172.16.30.24),PASS,
6,DCI-1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW3 (IP: 172.16.30.30),PASS,
7,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1/1 - Remote: Site1-BGW1 Ethernet5/1,PASS,
8,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2/1 - Remote: Site1-BGW2 Ethernet5/1,PASS,
9,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3/1 - Remote: Site1-BGW3 Ethernet5/1,PASS,
10,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4/1 - Remote: Site2-BGW1 Ethernet5/1,PASS,
11,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5/1 - Remote: Site2-BGW2 Ethernet5/1,PASS,
12,DCI-1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6/1 - Remote: Site2-BGW3 Ethernet5/1,PASS,
13,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1/1 (IP: 172.16.30.1) - Destination: Site1-BGW1 Ethernet5/1 (IP: 172.16.30.0),PASS,
14,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2/1 (IP: 172.16.30.7) - Destination: Site1-BGW2 Ethernet5/1 (IP: 172.16.30.6),PASS,
15,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3/1 (IP: 172.16.30.13) - Destination: Site1-BGW3 Ethernet5/1 (IP: 172.16.30.12),PASS,
16,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4/1 (IP: 172.16.30.19) - Destination: Site2-BGW1 Ethernet5/1 (IP: 172.16.30.18),PASS,
17,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5/1 (IP: 172.16.30.25) - Destination: Site2-BGW2 Ethernet5/1 (IP: 172.16.30.24),PASS,
18,DCI-1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6/1 (IP: 172.16.30.31) - Destination: Site2-BGW3 Ethernet5/1 (IP: 172.16.30.30),PASS,
19,DCI-1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
20,DCI-1,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
21,DCI-1,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
22,DCI-1,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
23,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1/1 - P2P_Site1-BGW1_Ethernet5/1 = 'up',PASS,
24,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2/1 - P2P_Site1-BGW2_Ethernet5/1 = 'up',PASS,
25,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3/1 - P2P_Site1-BGW3_Ethernet5/1 = 'up',PASS,
26,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4/1 - P2P_Site2-BGW1_Ethernet5/1 = 'up',PASS,
27,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5/1 - P2P_Site2-BGW2_Ethernet5/1 = 'up',PASS,
28,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6/1 - P2P_Site2-BGW3_Ethernet5/1 = 'up',PASS,
29,DCI-1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
30,DCI-1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
31,DCI-1,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,The device is not synchronized with the configured NTP server(s): 'unsynchronised'
32,DCI-1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
33,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW1 (IP: 172.16.30.2),PASS,
34,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW2 (IP: 172.16.30.8),PASS,
35,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW3 (IP: 172.16.30.14),PASS,
36,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW1 (IP: 172.16.30.20),PASS,
37,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW2 (IP: 172.16.30.26),PASS,
38,DCI-2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW3 (IP: 172.16.30.32),PASS,
39,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1/1 - Remote: Site1-BGW1 Ethernet6/1,PASS,
40,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2/1 - Remote: Site1-BGW2 Ethernet6/1,PASS,
41,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3/1 - Remote: Site1-BGW3 Ethernet6/1,PASS,
42,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4/1 - Remote: Site2-BGW1 Ethernet6/1,PASS,
43,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5/1 - Remote: Site2-BGW2 Ethernet6/1,PASS,
44,DCI-2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6/1 - Remote: Site2-BGW3 Ethernet6/1,PASS,
45,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1/1 (IP: 172.16.30.3) - Destination: Site1-BGW1 Ethernet6/1 (IP: 172.16.30.2),PASS,
46,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2/1 (IP: 172.16.30.9) - Destination: Site1-BGW2 Ethernet6/1 (IP: 172.16.30.8),PASS,
47,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3/1 (IP: 172.16.30.15) - Destination: Site1-BGW3 Ethernet6/1 (IP: 172.16.30.14),PASS,
48,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4/1 (IP: 172.16.30.21) - Destination: Site2-BGW1 Ethernet6/1 (IP: 172.16.30.20),PASS,
49,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5/1 (IP: 172.16.30.27) - Destination: Site2-BGW2 Ethernet6/1 (IP: 172.16.30.26),PASS,
50,DCI-2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6/1 (IP: 172.16.30.33) - Destination: Site2-BGW3 Ethernet6/1 (IP: 172.16.30.32),PASS,
51,DCI-2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
52,DCI-2,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
53,DCI-2,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
54,DCI-2,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
55,DCI-2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1/1 - P2P_Site1-BGW1_Ethernet6/1 = 'up',PASS,
56,DCI-2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2/1 - P2P_Site1-BGW2_Ethernet6/1 = 'up',PASS,
57,DCI-2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3/1 - P2P_Site1-BGW3_Ethernet6/1 = 'up',PASS,
58,DCI-2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4/1 - P2P_Site2-BGW1_Ethernet6/1 = 'up',PASS,
59,DCI-2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5/1 - P2P_Site2-BGW2_Ethernet6/1 = 'up',PASS,
60,DCI-2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6/1 - P2P_Site2-BGW3_Ethernet6/1 = 'up',PASS,
61,DCI-2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
62,DCI-2,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
63,DCI-2,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,The device is not synchronized with the configured NTP server(s): 'unsynchronised'
64,DCI-2,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
65,DCI-3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW1 (IP: 172.16.30.4),PASS,
66,DCI-3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW2 (IP: 172.16.30.10),PASS,
67,DCI-3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-BGW3 (IP: 172.16.30.16),PASS,
68,DCI-3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW1 (IP: 172.16.30.22),PASS,
69,DCI-3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW2 (IP: 172.16.30.28),PASS,
70,DCI-3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site2-BGW3 (IP: 172.16.30.34),PASS,
71,DCI-3,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1/1 - Remote: Site1-BGW1 Ethernet7/1,PASS,
72,DCI-3,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2/1 - Remote: Site1-BGW2 Ethernet7/1,PASS,
73,DCI-3,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3/1 - Remote: Site1-BGW3 Ethernet7/1,PASS,
74,DCI-3,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4/1 - Remote: Site2-BGW1 Ethernet7/1,PASS,
75,DCI-3,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5/1 - Remote: Site2-BGW2 Ethernet7/1,PASS,
76,DCI-3,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6/1 - Remote: Site2-BGW3 Ethernet7/1,PASS,
77,DCI-3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1/1 (IP: 172.16.30.5) - Destination: Site1-BGW1 Ethernet7/1 (IP: 172.16.30.4),PASS,
78,DCI-3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2/1 (IP: 172.16.30.11) - Destination: Site1-BGW2 Ethernet7/1 (IP: 172.16.30.10),PASS,
79,DCI-3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3/1 (IP: 172.16.30.17) - Destination: Site1-BGW3 Ethernet7/1 (IP: 172.16.30.16),PASS,
80,DCI-3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4/1 (IP: 172.16.30.23) - Destination: Site2-BGW1 Ethernet7/1 (IP: 172.16.30.22),PASS,
81,DCI-3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5/1 (IP: 172.16.30.29) - Destination: Site2-BGW2 Ethernet7/1 (IP: 172.16.30.28),PASS,
82,DCI-3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6/1 (IP: 172.16.30.35) - Destination: Site2-BGW3 Ethernet7/1 (IP: 172.16.30.34),PASS,
83,DCI-3,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
84,DCI-3,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
85,DCI-3,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
86,DCI-3,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
87,DCI-3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1/1 - P2P_Site1-BGW1_Ethernet7/1 = 'up',PASS,
88,DCI-3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2/1 - P2P_Site1-BGW2_Ethernet7/1 = 'up',PASS,
89,DCI-3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3/1 - P2P_Site1-BGW3_Ethernet7/1 = 'up',PASS,
90,DCI-3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4/1 - P2P_Site2-BGW1_Ethernet7/1 = 'up',PASS,
91,DCI-3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5/1 - P2P_Site2-BGW2_Ethernet7/1 = 'up',PASS,
92,DCI-3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6/1 - P2P_Site2-BGW3_Ethernet7/1 = 'up',PASS,
93,DCI-3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
94,DCI-3,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
95,DCI-3,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,The device is not synchronized with the configured NTP server(s): 'unsynchronised'
96,DCI-3,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
97,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: DCI-1 (IP: 192.168.250.1),FAIL,AFI: evpn Peer: 192.168.250.1 - Session state is not established - State: Connect
98,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: DCI-2 (IP: 192.168.250.2),FAIL,AFI: evpn Peer: 192.168.250.2 - Session state is not established - State: Connect
99,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: DCI-3 (IP: 192.168.250.3),FAIL,AFI: evpn Peer: 192.168.250.3 - Session state is not established - State: Connect
100,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: Site1-S1 (IP: 192.0.255.1),FAIL,AFI: evpn Peer: 192.0.255.1 - Session state is not established - State: Active
101,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: Site1-S2 (IP: 192.0.255.2),FAIL,AFI: evpn Peer: 192.0.255.2 - Session state is not established - State: Active
102,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: Site1-S3 (IP: 192.0.255.3),FAIL,AFI: evpn Peer: 192.0.255.3 - Session state is not established - State: Active
103,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: DCI-1 (IP: 172.16.30.1),PASS,
104,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: DCI-2 (IP: 172.16.30.3),PASS,
105,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: DCI-3 (IP: 172.16.30.5),PASS,
106,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-S1 (IP: 172.30.255.84),FAIL,AFI: ipv4 SAFI: unicast VRF: default Peer: 172.30.255.84 - Session state is not established - State: Idle
107,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-S2 (IP: 172.30.255.86),FAIL,AFI: ipv4 SAFI: unicast VRF: default Peer: 172.30.255.86 - Session state is not established - State: Idle
108,Site1-BGW1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: Site1-S3 (IP: 172.30.255.88),FAIL,AFI: ipv4 SAFI: unicast VRF: default Peer: 172.30.255.88 - Session state is not established - State: Idle
109,Site1-BGW1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5/1 - Remote: DCI-1 Ethernet1/1,PASS,
110,Site1-BGW1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet51/1 - Remote: Site1-S1 Ethernet5/1,FAIL,"Port Ethernet51/1 (Neighbor: Site1-S1.act.lab, Neighbor Port: Ethernet5/1) - Port not found"
111,Site1-BGW1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet52/1 - Remote: Site1-S2 Ethernet5/1,FAIL,"Port Ethernet52/1 (Neighbor: Site1-S2.act.lab, Neighbor Port: Ethernet5/1) - Port not found"
112,Site1-BGW1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet53/1 - Remote: Site1-S3 Ethernet5/1,FAIL,"Port Ethernet53/1 (Neighbor: Site1-S3.act.lab, Neighbor Port: Ethernet5/1) - Port not found"
113,Site1-BGW1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6/1 - Remote: DCI-2 Ethernet1/1,PASS,
114,Site1-BGW1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet7/1 - Remote: DCI-3 Ethernet1/1,PASS,
115,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: DCI-1 Loopback0 (IP: 192.168.250.1),PASS,
116,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: DCI-2 Loopback0 (IP: 192.168.250.2),PASS,
117,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: DCI-3 Loopback0 (IP: 192.168.250.3),PASS,
118,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-BGW1 Loopback0 (IP: 192.0.255.17),PASS,
119,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-BGW2 Loopback0 (IP: 192.0.255.18),FAIL,"Host 192.0.255.18 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
120,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-BGW3 Loopback0 (IP: 192.0.255.19),FAIL,"Host 192.0.255.19 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
121,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-L1 Loopback0 (IP: 192.0.255.13),FAIL,"Host 192.0.255.13 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
122,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-L2 Loopback0 (IP: 192.0.255.14),FAIL,"Host 192.0.255.14 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
123,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-L3 Loopback0 (IP: 192.0.255.15),FAIL,"Host 192.0.255.15 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
124,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-L4 Loopback0 (IP: 192.0.255.16),FAIL,"Host 192.0.255.16 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
125,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-S1 Loopback0 (IP: 192.0.255.1),FAIL,"Host 192.0.255.1 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
126,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-S2 Loopback0 (IP: 192.0.255.2),FAIL,"Host 192.0.255.2 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
127,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site1-S3 Loopback0 (IP: 192.0.255.3),FAIL,"Host 192.0.255.3 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
128,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site2-BGW1 Loopback0 (IP: 192.2.255.27),PASS,
129,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site2-BGW2 Loopback0 (IP: 192.2.255.28),PASS,
130,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site2-BGW3 Loopback0 (IP: 192.2.255.29),PASS,
131,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site2-L1 Loopback0 (IP: 192.2.255.23),FAIL,"Host 192.2.255.23 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
132,Site1-BGW1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.17) - Destination: Site2-L2 Loopback0 (IP: 192.2.255.24),FAIL,"Host 192.2.255.24 (src: 192.0.255.17, vrf: default, size: 100B, repeat: 1) - Unreachable"
