id,dut,categories,test,description,inputs,result,messages
610,Site1-L3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.0.255.15) - Destination: Site2-S3 Loopback0 (IP: 192.2.255.3),FAIL,"Host 192.2.255.3 (src: 192.0.255.15, vrf: default, size: 100B, repeat: 1) - Unreachable"
611,Site1-L3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet51/1 (IP: 172.30.255.73) - Destination: Site1-S1 Ethernet3/1 (IP: 172.30.255.72),PASS,
612,Site1-L3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet52/1 (IP: 172.30.255.75) - Destination: Site1-S2 Ethernet3/1 (IP: 172.30.255.74),PASS,
613,Site1-L3,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet53/1 (IP: 172.30.255.77) - Destination: Site1-S3 Ethernet3/1 (IP: 172.30.255.76),PASS,
614,Site1-L3,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on vEOS-lab.
615,Site1-L3,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on vEOS-lab.
616,Site1-L3,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on vEOS-lab.
617,Site1-L3,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on vEOS-lab.
618,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - SERVER_Site1-L3=Site1-L4=vPC1_NIC1 = 'up',PASS,
619,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - SERVER_Site1-L3=Site1-L4=vPC2_NIC1 = 'up',PASS,
620,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - test eth3 routed port = 'up',PASS,
621,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet49/1 - MLAG_Site1-L4_Ethernet49/1 = 'up',PASS,
622,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet50/1 - MLAG_Site1-L4_Ethernet50/1 = 'up',PASS,
623,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet51/1 - P2P_Site1-S1_Ethernet3/1 = 'up',PASS,
624,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet52/1 - P2P_Site1-S2_Ethernet3/1 = 'up',PASS,
625,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet53/1 - P2P_Site1-S3_Ethernet3/1 = 'up',PASS,
626,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
627,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
628,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback100 - DIAG_VRF_bluevrf = 'up',PASS,
629,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel1 - PortChannel = 'up',FAIL,"Port-Channel1 - Expected: up/up, Actual: down/lowerLayerDown"
630,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel2 - PortChannel = 'up',FAIL,"Port-Channel2 - Expected: up/up, Actual: down/lowerLayerDown"
631,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel491 - MLAG_Site1-L4_Port-Channel491 = 'up',PASS,
632,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan2300 - bluenet1 = 'up',PASS,
633,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan2301 - bluenet2 = 'up',PASS,
634,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3009 - MLAG_L3_VRF_bluevrf = 'up',PASS,
635,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4093 - MLAG_L3 = 'up',PASS,
636,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4094 - MLAG = 'up',PASS,
637,Site1-L3,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vxlan1 = 'up',PASS,
638,Site1-L3,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,FAIL,"MLAG status is not OK: {'state': 'inactive', 'negStatus': 'connecting', 'localIntfStatus': 'up', 'peerLinkStatus': 'up'}"
639,Site1-L3,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
640,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.254.13 - Peer: Site1-L1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.254.13']
641,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.254.14 - Peer: Site1-L2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.254.14']
642,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.254.15 - Peer: Site1-L3,PASS,
643,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.254.17 - Peer: Site1-BGW1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.254.17']
644,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.254.18 - Peer: Site1-BGW2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.254.18']
645,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.254.19 - Peer: Site1-BGW3,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.254.19']
646,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.1 - Peer: Site1-S1,PASS,
647,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.13 - Peer: Site1-L1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.255.13']
648,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.14 - Peer: Site1-L2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.255.14']
649,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.15 - Peer: Site1-L3,PASS,
650,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.16 - Peer: Site1-L4,PASS,
651,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.17 - Peer: Site1-BGW1,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.255.17']
652,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.18 - Peer: Site1-BGW2,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.255.18']
653,Site1-L3,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.0.255.19 - Peer: Site1-BGW3,FAIL,The following route(s) are missing from the routing table of VRF default: ['192.0.255.19']
