Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,Site2-L1,Ethernet53/1,172.32.255.125/31,spine,Site2-S3,Ethernet1/1,172.32.255.124/31
l3leaf,Site2-L2,Ethernet51/1,172.32.255.127/31,spine,Site2-S1,Ethernet2/1,172.32.255.126/31
l3leaf,Site2-L2,Ethernet52/1,172.32.255.129/31,spine,Site2-S2,Ethernet2/1,172.32.255.128/31
l3leaf,Site2-L2,Ethernet53/1,172.32.255.131/31,spine,Site2-S3,Ethernet2/1,172.32.255.130/31
l3leaf,Site2-L3,Ethernet51/1,172.32.255.133/31,spine,Site2-S1,Ethernet3/1,172.32.255.132/31
l3leaf,Site2-L3,Ethernet52/1,172.32.255.135/31,spine,Site2-S2,Ethernet3/1,172.32.255.134/31
l3leaf,Site2-L3,Ethernet53/1,172.32.255.137/31,spine,Site2-S3,Ethernet3/1,172.32.255.136/31
l3leaf,Site2-L4,Ethernet51/1,172.32.255.139/31,spine,Site2-S1,Ethernet4/1,172.32.255.138/31
l3leaf,Site2-L4,Ethernet52/1,172.32.255.141/31,spine,Site2-S2,Ethernet4/1,172.32.255.140/31
l3leaf,Site2-L4,Ethernet53/1,172.32.255.143/31,spine,Site2-S3,Ethernet4/1,172.32.255.142/31
